144.959522 -37.800095 --> Census year: 2018 || Block ID: 72 || Property ID: 106023 || Base property ID: 106023 || CLUE small area: Melbourne (CBD) || Trading name: Angela Torcasio || Industry (ANZSIC4) code: 6931 || Industry (ANZSIC4) description: Legal Services || x coordinate: 144.9555651 || y coordinate: -37.81329563 || Location: (-37.81329563, 144.9555651) || 
144.959522 -37.800095 --> Census year: 2018 || Block ID: 72 || Property ID: 106023 || Base property ID: 106023 || CLUE small area: Melbourne (CBD) || Trading name: Bebbington Lawyers || Industry (ANZSIC4) code: 6931 || Industry (ANZSIC4) description: Legal Services || x coordinate: 144.9555651 || y coordinate: -37.81329563 || Location: (-37.81329563, 144.9555651) || 
144.959522 -37.800095 --> Census year: 2018 || Block ID: 72 || Property ID: 106023 || Base property ID: 106023 || CLUE small area: Melbourne (CBD) || Trading name: The Little Cafe || Industry (ANZSIC4) code: 4511 || Industry (ANZSIC4) description: Cafes and Restaurants || x coordinate: 144.9555651 || y coordinate: -37.81329563 || Location: (-37.81329563, 144.9555651) || 
144.959522 -37.800095 --> Census year: 2018 || Block ID: 72 || Property ID: 106023 || Base property ID: 106023 || CLUE small area: Melbourne (CBD) || Trading name: Poked || Industry (ANZSIC4) code: 4512 || Industry (ANZSIC4) description: Takeaway Food Services || x coordinate: 144.9555651 || y coordinate: -37.81329563 || Location: (-37.81329563, 144.9555651) || 
144.959522 -37.800095 --> Census year: 2018 || Block ID: 72 || Property ID: 106023 || Base property ID: 106023 || CLUE small area: Melbourne (CBD) || Trading name: Gavel & Bean || Industry (ANZSIC4) code: 4512 || Industry (ANZSIC4) description: Takeaway Food Services || x coordinate: 144.9555651 || y coordinate: -37.81329563 || Location: (-37.81329563, 144.9555651) || 
144.959522 -37.800095 --> Census year: 2018 || Block ID: 72 || Property ID: 106023 || Base property ID: 106023 || CLUE small area: Melbourne (CBD) || Trading name: Melinda Walker Criminal Law Solicitor / RH & Associates Family Lawyers || Industry (ANZSIC4) code: 6931 || Industry (ANZSIC4) description: Legal Services || x coordinate: 144.9555651 || y coordinate: -37.81329563 || Location: (-37.81329563, 144.9555651) || 
144.959522 -37.800095 --> Census year: 2018 || Block ID: 72 || Property ID: 106023 || Base property ID: 106023 || CLUE small area: Melbourne (CBD) || Trading name: Mapo Grill & Bar || Industry (ANZSIC4) code: 4511 || Industry (ANZSIC4) description: Cafes and Restaurants || x coordinate: 144.9555651 || y coordinate: -37.81329563 || Location: (-37.81329563, 144.9555651) || 
144.959522 -37.800095 --> Census year: 2018 || Block ID: 72 || Property ID: 106023 || Base property ID: 106023 || CLUE small area: Melbourne (CBD) || Trading name: Heirloom Seed || Industry (ANZSIC4) code: 4512 || Industry (ANZSIC4) description: Takeaway Food Services || x coordinate: 144.9555651 || y coordinate: -37.81329563 || Location: (-37.81329563, 144.9555651) || 
144.959522 -37.800095 --> Census year: 2018 || Block ID: 72 || Property ID: 106023 || Base property ID: 106023 || CLUE small area: Melbourne (CBD) || Trading name: IMAC Legal & Compliance || Industry (ANZSIC4) code: 6931 || Industry (ANZSIC4) description: Legal Services || x coordinate: 144.9555651 || y coordinate: -37.81329563 || Location: (-37.81329563, 144.9555651) || 
144.959522 -37.800095 --> Census year: 2018 || Block ID: 72 || Property ID: 106023 || Base property ID: 106023 || CLUE small area: Melbourne (CBD) || Trading name: Rightside Legal || Industry (ANZSIC4) code: 6931 || Industry (ANZSIC4) description: Legal Services || x coordinate: 144.9555651 || y coordinate: -37.81329563 || Location: (-37.81329563, 144.9555651) || 
144.959522 -37.800095 --> Census year: 2018 || Block ID: 72 || Property ID: 106023 || Base property ID: 106023 || CLUE small area: Melbourne (CBD) || Trading name: Virage It || Industry (ANZSIC4) code: 7000 || Industry (ANZSIC4) description: Computer System Design and Related Services || x coordinate: 144.9555651 || y coordinate: -37.81329563 || Location: (-37.81329563, 144.9555651) || 
